"title","artist","year","num_words","id","duration_ms","popularity","danceability","energy","loudness","valence","tempo"
"IT ENDS TONIGHT","All-American Rejects","2007","257","1FMHNVeJ9s1x1l1WlaRs2I","244826","60","0.335","0.676","-4.68","0.341","175.845"
"BECAUSE OF YOU","Ne-Yo","2007","400","6CFPFnS9EcLs2I0nWqtWci","266840","73","0.808","0.545","-5.728","0.822","109.96"
"I TRIED","Bone Thugs-N-Harmony","2007","735","2elA6JLRaQ6iB7hxiuTKN4","287480","62","0.727","0.71","-6.142","0.378","81.995"
"WELCOME TO THE BLACK PARADE","My Chemical Romance","2007","482","5wQnmLuC1W7ATsArWACrgW","311106","77","0.217","0.905","-4.103","0.236","96.95"
"SHAWTY","Plies","2007","643","0mYoKqA23wUUj7BTEgNzjg","255413","59","0.444","0.708","-5.926","0.26","105.412"
"CHASING CARS","Snow Patrol","2007","204","11bD1JtSjlIgKgZG2134DZ","267933","78","0.563","0.592","-4.571","0.136","104.016"
"BEAUTIFUL LIAR","Beyonce","2007","223","2HWWNoWEEEECwZhAiLg7ib","199853","62","0.764","0.751","-3.74","0.418","91.977"
"SEXYBACK","Justin Timberlake","2007","679","39pAejlRtfubA42tGfHLFT","242733","67","0.967","0.583","-5.562","0.964","117"
"KEEP HOLDING ON","Avril Lavigne","2007","392","4UPcXTh26ilb7owtuyHqNI","239629","51","0.274","0.786","-2.354","0.146","161.061"
"LET IT GO","Keyshia Cole","2007","794","2RqZFOLOnzVmHUX7ZMcaES","238333","67","0.812","0.721","-5.084","0.772","94.939"
"APOLOGIZE","Timbaland","2007","188","6ucR4KfvsBFWCMVFDvyKKl","184400","63","0.654","0.61","-6.051","0.118","118.032"
"BUBBLY","Colbie Caillat","2007","275","0rFOs9paloAvEtzwDX1Kmc","196280","70","0.664","0.491","-6.544","0.24","127.97"
"LIKE A BOY","Ciara","2007","597","358bOvBiZCS9fRzNYosw6c","237053","60","0.701","0.724","-5.751","0.425","132.035"
"NEVER AGAIN","Kelly Clarkson","2007","350","24y3tSyLdRbpVsKhQrR2oj","217293","46","0.514","0.91","-2.978","0.472","145.907"
"PROMISE","Ciara","2007","569","1pLdjo3lOBbMaoR4ZpybFH","267413","56","0.697","0.629","-5.757","0.439","123.279"
"BED","J. Holiday","2007","549","6TlRNJaezOdzdECnQeRuMM","275106","68","0.684","0.606","-7.268","0.723","127.901"
"REHAB","Amy Winehouse","2007","305","1L5tZi0izXsi5Kk5OJf4W0","213760","74","0.434","0.872","-2.974","0.732","71.515"
"NO ONE","Alicia Keys","2007","316","6IwKcFdiRQZOWeYNhUiWIv","253813","80","0.644","0.548","-5.416","0.166","90.042"
"THE GREAT ESCAPE","Boys Like Girls","2007","251","6GIrIt2M39wEGwjCQjGChX","206520","65","0.423","0.94","-4.012","0.505","149.934"
"GO GETTA","Young Jeezy","2007","551","03b1NUHnoavfpLLKcEMfIb","229346","52","0.375","0.726","-6.46","0.44","173.99"
"ON THE HOTLINE","Pretty Ricky","2007","528","3bsoEOP4NHEoeVbAAYdbaU","242586","55","0.687","0.871","-5.469","0.629","92.998"
"WIND IT UP","Gwen Stefani","2007","442","1GeECVH4Msg1zLm8DExkbH","189586","48","0.96","0.895","-6.899","0.92","120.01"
"BREAK IT OFF","Rihanna","2007","748","4PgtB6Sul8WDTRZCe5e8St","213373","49","0.897","0.738","-5.314","0.798","133.966"
"FIRST TIME","Lifehouse","2007","257","40Fp6pxcS9l08kL1R50mR4","203640","47","0.442","0.952","-2.214","0.505","130.682"
"AYO TECHNOLOGY","50 Cent","2007","731","36Hwcla06Q5BCr59CL0sBp","247946","54","0.442","0.774","-5.538","0.377","139.775"
"OUTTA MY SYSTEM","Bow Wow","2007","768","3LGeYNY9aWQuBJovOOowqm","238266","57","0.772","0.59","-6.957","0.743","83.998"
"TEARDROPS ON MY GUITAR","Taylor Swift","2007","288","7zMcNqs55Mxer82bvZFkpg","203040","63","0.617","0.422","-6.794","0.264","99.966"
"SHUT UP AND DRIVE","Rihanna","2007","453","4Tn2llBm1g0UlWctmgPL8Z","212280","65","0.735","0.826","-4.902","0.74","132.964"
"SNOW","Red Hot Chili Peppers","2007","496","2aibwv5hGXSgw7Yru8IYTO","335066","80","0.432","0.895","-3.682","0.625","104.458"
"MONEY MAKER","Ludacris","2007","725","2JpUkUR0OsOlUUfm6iS8ic","230613","62","0.571","0.613","-6.836","0.583","83.317"
"FAR AWAY","Nickelback","2007","293","0ADZ5dmXhlfzjMw6lefoPl","238173","69","0.518","0.797","-5.153","0.293","132.915"
"BETTER THAN ME","Hinder","2007","269","10fddGyyeUquZZ2uPTjD7P","223533","61","0.452","0.675","-5.172","0.23","139.87"
"PARALYZER","Finger Eleven","2007","312","28IEbk5a7twNTbUEvWslUb","208106","69","0.645","0.941","-3.425","0.881","106.015"
"SAME GIRL","R. Kelly","2007","634","6OSmeoh8kXhCfz9WqvzDoJ","252933","61","0.717","0.583","-5.008","0.816","139.76"
"BAD DAY","Daniel Powter","2006","389","0mUyMawtxj1CJ76kn9gIZK","233640","78","0.599","0.785","-4.013","0.52","140.046"
"TEMPERATURE","Sean Paul","2006","671","0k2GOhqsrxDTAbFFSdNJjT","218573","76","0.951","0.6","-4.675","0.822","125.04"
"PROMISCUOUS","Nelly Furtado","2006","601","47aQT2aV12TyilaoYi1NiD","242200","67","0.813","0.977","-6.078","0.842","114.316"
"YOU'RE BEAUTIFUL","James Blunt","2006","186","0vg4WnUWvze6pBOJDTq99k","209493","78","0.675","0.479","-9.87","0.454","81.998"
"UNWRITTEN","Natasha Bedingfield","2006","453","1D1nixOVWOxvNfWi0UD7VX","259333","77","0.706","0.801","-6.333","0.63","100.013"
"CRAZY","Gnarls Barkley","2006","203","2N5zMZX7YeL1tico8oQxa9","182066","71","0.835","0.741","-1.609","0.612","111.963"
"RIDIN'","Chamillionaire","2006","1004","3kZoay4ANo86ehb6s4RwS9","302000","71","0.788","0.808","-4.77","0.844","143.04"
"SEXYBACK","Justin Timberlake","2006","679","39pAejlRtfubA42tGfHLFT","242733","67","0.967","0.583","-5.562","0.964","117"
"CHECK ON IT","Beyonce","2006","845","2RWxrpsFshOBFwRBRstUlQ","210453","56","0.705","0.796","-6.845","0.864","166.042"
"BE WITHOUT YOU","Mary J. Blige","2006","542","2YegxR5As7BeQuVp2U6pek","246333","64","0.724","0.689","-5.922","0.693","146.496"
"BUTTONS","Pussycat Dolls","2006","624","3BxWKCI06eQ5Od8TY2JBeA","225560","64","0.544","0.823","-4.318","0.434","210.75"
"SO SICK","Ne-Yo","2006","389","6brl7bwOHmGFkNw3MBqssT","207186","78","0.699","0.592","-8.298","0.589","94.933"
"SOS","Rihanna","2006","617","30cSNer6TV8x2utjULVeQ5","238920","69","0.677","0.671","-4.905","0.527","137.046"
"I WRITE SINS NOT TRAGEDIES","Panic! At The Disco","2006","302","4bPQs0PHn4xbipzdPfn6du","187613","77","0.567","0.795","-4.985","0.635","170.06"
"LONDON BRIDGE","Fergie","2006","521","7jRoWfRlLnGYEIEn4t4kbq","241306","63","0.748","0.63","-5.832","0.61","90.889"
"DANI CALIFORNIA","Red Hot Chili Peppers","2006","288","10Nmj3JCNoMeBQ87uw5j8k","283000","76","0.553","0.865","-4.751","0.735","96.161"
"SNAP YO FINGERS","Lil Jon","2006","489","6o3s08kk2fQI37vxGZDrJ1","274386","71","0.835","0.757","-5.029","0.626","82.038"
"LEAN WIT IT, ROCK WIT IT","Dem Franchize Boyz","2006","564","7cVmKBwzPsh4Fmb6SplfEm","229813","61","0.886","0.62","-5.854","0.6","76.035"
"WHAT HURTS THE MOST","Rascal Flatts","2006","265","4bVuIlGQBMWS7vIhcx8Ae4","214106","71","0.527","0.671","-5.032","0.331","136.03"
"UNFAITHFUL","Rihanna","2006","358","13xxBnXOuiBxVxJI458B0i","226973","72","0.588","0.391","-8.607","0.349","144.069"
"CHASING CARS","Snow Patrol","2006","204","11bD1JtSjlIgKgZG2134DZ","267933","78","0.563","0.592","-4.571","0.136","104.016"
"LIPS OF AN ANGEL","Hinder","2006","285","40LQiUUUKXVGyNs09lHVjW","261853","71","0.476","0.769","-5.344","0.287","129.051"
"AIN'T NO OTHER MAN","Christina Aguilera","2006","486","7huo2wvrCgRucUsjdSDLQV","228906","61","0.862","0.742","-4.722","0.511","127.91"
"DANCE, DANCE","Fall Out Boy","2006","309","0a7BloCiNzLDD9qSQHh5m7","180266","75","0.616","0.961","-3.144","0.523","114.492"
"GOLD DIGGER","Kanye West","2006","766","1PS1QMdUqOal0ai3Gt7sDQ","207626","79","0.638","0.699","-5.54","0.66","92.939"
"MONEY MAKER","Ludacris","2006","725","2JpUkUR0OsOlUUfm6iS8ic","230613","62","0.571","0.613","-6.836","0.583","83.317"
"MS. NEW BOOTY","Bubba Sparxxx","2006","828","0k6HUzaRHpQ3eEWr1C7Esh","252653","64","0.64","0.62","-5.931","0.609","129.37"
"PHOTOGRAPH","Nickelback","2006","473","3hb2ScEVkGchcAQqrPLP0R","258920","67","0.513","0.877","-3.756","0.389","145.919"
"BECAUSE OF YOU","Kelly Clarkson","2006","322","3f3omU8n47Mqyab5nCaGyT","219493","74","0.583","0.584","-5.362","0.136","140.039"
"STICKWITU","Pussycat Dolls","2006","368","4NjR63Up0uMkQBlKvlZd1l","207506","62","0.652","0.551","-6.299","0.372","79.995"
"I'M N LUV","T-Pain","2006","636","1lih9AUGlOI2qbAkptdBsr","265333","69","0.731","0.368","-10.38","0.512","145.171"
"MY HUMPS","Black Eyed Peas","2006","645","19JdbdEwQI7bCxefMokZO8","326960","65","0.8","0.688","-5.987","0.623","123.929"
"WHERE'D YOU GO","Fort Minor","2006","475","7pAT4dOUzjq8Ziap5ShIqC","231866","61","0.684","0.819","-3.309","0.25","179.999"
"WALK AWAY","Kelly Clarkson","2006","330","25sA1vM4BFkTb5cJGWftFo","189306","50","0.75","0.888","-4.524","0.935","115.973"
"DIRTY LITTLE SECRET","All-American Rejects","2006","272","5lDriBxJd22IhOH9zTcFrV","193653","69","0.453","0.942","-4.256","0.457","143.85"
"SAVIN' ME","Nickelback","2006","311","0n2RMFCf3wfKJ9h3E3BKO8","219320","54","0.441","0.815","-4.088","0.522","164.021"
"DON'T FORGET ABOUT US","Mariah Carey","2006","518","2hQU8LNZFUcXLUwqeABX3K","233866","56","0.7","0.529","-6.816","0.386","143.555"
"SEXY LOVE","Ne-Yo","2006","372","10aWGOqSDBqvNzJ9NeKDbK","220853","68","0.622","0.503","-6.417","0.58","93.984"
"U AND DAT","E-40","2006","675","7g7M96UGiA7OR79H86gV4m","202720","60","0.858","0.484","-7.448","0.329","99.992"
"FAR AWAY","Nickelback","2006","293","0ADZ5dmXhlfzjMw6lefoPl","238173","69","0.518","0.797","-5.153","0.293","132.915"
"DO IT TO IT","Cherish","2006","663","6MBEjJlXQYXr8dfxDvZuoA","226293","61","0.826","0.67","-5.559","0.794","74.007"
"UNPREDICTABLE","Jamie Foxx","2006","487","3UNrtRxBBlWE70SjxnOo02","219866","51","0.734","0.599","-8.462","0.772","145.185"
"MY LOVE","Justin Timberlake","2006","715","4NeOWqHmlrGRuBvsLJC9rL","276160","72","0.772","0.68","-5.881","0.807","119.953"
"SHAKE THAT","Eminem","2006","765","0fGh0trRN1xz3s41r7V5ce","274440","73","0.962","0.64","-5.987","0.533","106.995"
"PULLIN' ME BACK","Chingy","2006","745","5hF2LnbkpnXCkksMSeWcxZ","234133","61","0.786","0.511","-6.66","0.587","80"
"SMACK THAT","Akon","2006","608","2kQuhkFX7uSVepCD3h29g5","212360","72","0.937","0.738","-5.301","0.911","118.994"
"ONE WISH","Ray J","2006","562","6QON2WlAI1QayzhgebwvWd","337640","63","0.524","0.635","-7.22","0.603","127.618"
"WHO SAYS YOU CAN'T GO HOME","Bon Jovi","2006","483","5439qJTu5mVH9aeriwp03u","230280","56","0.534","0.87","-3.582","0.808","131.688"
"TOUCH IT","Busta Rhymes","2006","879","7HiUa9Gkk3QddHWT4jKiXd","240146","52","0.644","0.62","-7.479","0.429","67.261"
"LIFE IS A HIGHWAY","Rascal Flatts","2006","423","2Fs18NaCDuluPG1DHGw1XG","276320","71","0.582","0.952","-3.848","0.655","103.027"
"CALL ME WHEN YOU'RE SOBER","Evanescence","2006","194","663Karu2rvKLdnY0eo1n3M","214706","65","0.45","0.883","-4.094","0.328","93.41"
"JESUS, TAKE THE WHEEL","Carrie Underwood","2006","291","3lec3CzDPAxsZokPph5w87","226493","61","0.359","0.518","-3.537","0.135","76.572"
"GET UP","Ciara","2006","644","4PrquuUN34hswtM71OMvxS","263373","55","0.941","0.631","-5.998","0.63","128.597"
"WE BE BURNIN'","Sean Paul","2006","417","4kOTDj4SiZPkW1p96WMDNv","213066","56","0.95","0.803","-4.195","0.86","117"
"HATE ME","Blue October","2006","553","1tL40tfdtUaSLek4DvDDr3","380200","57","0.384","0.685","-5.724","0.202","92.166"
"YOU AND ME","Lifehouse","2006","251","0815caqt2Lytro5EIzMufT","195493","76","0.456","0.432","-7.682","0.391","139.909"
"BEEP","Pussycat Dolls","2006","605","5TXNLJ2EENAt3Tf9MX4kT2","229360","51","0.946","0.732","-6.38","0.542","103.691"
"I THINK THEY LIKE ME","Dem Franchize Boyz","2006","483","5a4AQWs84xeEyYUd1iC2Pn","282093","49","0.781","0.625","-9.139","0.679","83.024"
"SOUL SURVIVOR","Young Jeezy","2006","526","0Ss50OU9tCozI7JIywkv14","280013","63","0.671","0.499","-7.766","0.0854","84.045"
"PUMP IT","Black Eyed Peas","2006","505","6btyEL6NwUa97Nex9cZFvo","213066","67","0.646","0.923","-3.108","0.74","153.659"
"WHEN I'M GONE","Eminem","2006","913","42YNobZ4HN3tRVEA47wLT6","281133","71","0.535","0.73","-5.574","0.723","74.89"
"HUNG UP","Madonna","2006","476","3850dYVgOFIXJh5U4BFEWH","337733","69","0.649","0.647","-7.695","0.405","125.02"
"LOVE","Keyshia Cole","2006","241","0W4NhJhcqKCqEP2GIpDCDq","255333","65","0.676","0.512","-4.18","0.333","116.69"
"WHEN YOU'RE MAD","Ne-Yo","2006","395","5FXOEdfNW7nYQrBWtW49Cl","222000","57","0.654","0.564","-7.186","0.451","86.948"
"FEEL GOOD INC","Gorillaz","2006","430","0d28khcov6AiegSCpG5TuT","222640","80","0.818","0.705","-6.679","0.772","138.559"
"I'M SPRUNG","T-Pain","2006","377","0F7rEdewJ6cSLylOZZpDu7","230713","68","0.722","0.329","-11.617","0.166","99.991"
"DO I MAKE YOU PROUD","Taylor Hicks","2006","314","2jv9Ppwz9u3lqWfXV0q2sW","248693","31","0.463","0.524","-8.207","0.308","144.055"
"WE BELONG TOGETHER","Mariah Carey","2005","435","3LmvfNUQtglbTrydsdIqFU","201400","72","0.838","0.469","-7.992","0.778","139.975"
"HOLLABACK GIRL","Gwen Stefani","2005","476","6RcQOut9fWL6FSqeIr5M1r","199906","71","0.918","0.918","-2.218","0.882","110.024"
"SINCE U BEEN GONE","Kelly Clarkson","2005","280","3xrn9i8zhNZsTtcoWgQEAd","188960","75","0.662","0.741","-5.406","0.404","131"
"GOLD DIGGER","Kanye West","2005","766","1PS1QMdUqOal0ai3Gt7sDQ","207626","79","0.638","0.699","-5.54","0.66","92.939"
"BOULEVARD OF BROKEN DREAMS","Green Day","2005","257","5GorCbAP4aL0EJ16frG2hd","262333","74","0.496","0.682","-4.095","0.474","167.06"
"CANDY SHOP","50 Cent","2005","583","5D2mYZuzcgjpchVY1pmTPh","209106","78","0.614","0.574","-7.961","0.755","125.173"
"DON'T CHA","Pussycat Dolls","2005","548","1gZ7i4qxXkHZb1r6eioaAP","272080","68","0.879","0.643","-3.709","0.582","120.012"
"BEHIND THESE HAZEL EYES","Kelly Clarkson","2005","280","0AKAxdNkwq9ZxRdW1DN9zW","198973","61","0.548","0.889","-4.682","0.425","90.048"
"DISCO INFERNO","50 Cent","2005","400","69bHJ9qs5FrUJbKP8xU8uZ","214226","67","0.925","0.659","-4.763","0.71","97.018"
"YOU AND ME","Lifehouse","2005","251","0815caqt2Lytro5EIzMufT","195493","76","0.456","0.432","-7.682","0.391","139.909"
"DON'T PHUNK WITH MY HEART","Black Eyed Peas","2005","511","4MtDnnAJ1AtWit10FRmZdW","239773","54","0.691","0.929","-2.73","0.574","130.899"
"LOSE CONTROL","Missy Elliott","2005","530","0UaMYEvWZi0ZqiDOoHU3YI","226863","65","0.904","0.813","-7.105","0.81","125.461"
"SHAKE IT OFF","Mariah Carey","2005","630","4VKnkoNNM6yTb4cXXX3wqD","232840","57","0.766","0.49","-6.553","0.832","134.143"
"MR. BRIGHTSIDE","Killers","2005","285","7oK9VyNzrYvRFo7nQEYkWN","222586","79","0.33","0.936","-3.66","0.234","148.112"
"JUST A LIL BIT","50 Cent","2005","592","4nva9EpKntUTs6CRSGBCn9","237706","74","0.489","0.692","-6.672","0.527","96.946"
"PON DE REPLAY","Rihanna","2005","612","4TsmezEQVSZNNPv5RJ65Ov","246960","76","0.779","0.64","-8.415","0.498","99.019"
"HOW WE DO","Game","2005","560","4PmMVdIFpJTB9WQbmILf4p","235533","72","0.578","0.666","-7.1","0.591","195.13"
"BEVERLY HILLS","Weezer","2005","260","1yKu2MhpwzDXXH2tzG6xoa","196093","68","0.693","0.823","-3.761","0.741","87.904"
"OH","Ciara","2005","479","7i7UIbm5E0DD7aSOYvwp2v","256346","66","0.8","0.496","-7.135","0.357","128.29"
"LONELY NO MORE","Rob Thomas","2005","377","4faFAhOflLzhfJECveRwva","226640","58","0.551","0.896","-3.152","0.858","171.79"
"DROP IT LIKE IT'S HOT","Snoop Dogg","2005","788","2NBQmPrOEEjA8VbeWOQGxO","266066","69","0.881","0.622","-4.149","0.633","91.989"
"HATE IT OR LOVE IT","Game","2005","553","2wGSgTmgSF3xjRrHkTc25R","206400","73","0.807","0.785","-4.947","0.424","99.975"
"LOVERS AND FRIENDS","Lil Jon","2005","588","41PWz0hAiU9FqsmjR9Wh62","260600","64","0.675","0.501","-6.183","0.532","139.861"
"SOLDIER","Destiny's Child","2005","761","4FTOpNYcGxnQdGNWSxIcio","325573","69","0.878","0.417","-6.799","0.904","77.49"
"SWITCH","Will Smith","2005","446","2bmxx16hNi3W5FGzfFO9xX","196653","58","0.88","0.881","-5.143","0.519","102.517"
"LET ME HOLD YOU","Bow Wow","2005","496","1oNToERLIN71YCPLbRIQGQ","248493","62","0.815","0.662","-8.244","0.611","151.518"
"LIKE YOU","Bow Wow","2005","467","3jEqrIfwKO0M8ALu3TGilF","205840","64","0.714","0.6","-8.365","0.504","82.017"
"RICH GIRL","Gwen Stefani","2005","670","39qcvV4f0uqDMHxIkSb7tE","236213","61","0.855","0.747","-2.713","0.76","98.018"
"MY HUMPS","Black Eyed Peas","2005","645","19JdbdEwQI7bCxefMokZO8","326960","65","0.8","0.688","-5.987","0.623","123.929"
"CAUGHT UP","Usher","2005","388","5zdUc1JRCImBYcDWgvFNpE","224640","62","0.817","0.806","-4.606","0.805","110.086"
"LISTEN TO YOUR HEART","D.H.T.","2005","251","5KqEPvurLuOoV64tNylPO6","271040","46","0.558","0.268","-9.238","0.184","144.712"
"SCARS","Papa Roach","2005","368","1UREw2MCfU0xwBzCAjxlUD","208186","62","0.384","0.921","-3.334","0.471","89.922"
"FEEL GOOD INC","Gorillaz","2005","430","0d28khcov6AiegSCpG5TuT","222640","80","0.818","0.705","-6.679","0.772","138.559"
"LET ME GO","3 Doors Down","2005","323","0nNVR2iDM3eVzEgMi78vQm","243053","54","0.478","0.856","-4.881","0.454","91.998"
"GRIND WITH ME","Pretty Ricky","2005","595","3B7i9OKRRmIsSBHEbJz58Y","237733","69","0.7","0.538","-5.952","0.189","136.518"
"PHOTOGRAPH","Nickelback","2005","473","3hb2ScEVkGchcAQqrPLP0R","258920","67","0.513","0.877","-3.756","0.389","145.919"
"LONELY","Akon","2005","589","5QnM8r0kqFdM84k18aFE2V","235800","56","0.632","0.533","-7.873","0.595","90.064"
"COLLIDE","Howie Day","2005","164","6dwkFmLUz6hx2CZG2EqLol","249120","66","0.636","0.625","-7.895","0.342","93.931"
"WAKE ME UP WHEN SEPTEMBER ENDS","Green Day","2005","181","3ZffCQKLFLUvYM59XKLbVm","285653","77","0.546","0.814","-5.146","0.146","104.98"
"GET IT POPPIN'","Fat Joe","2005","693","3zdDxhDo5SycC7XSAPfdjv","211320","47","0.905","0.55","-7.558","0.52","100.813"
"PLAY","David Banner","2005","634","5CWyE2OcZI1HVnHBh4RrKF","230133","53","0.834","0.652","-7.899","0.548","95.015"
"SOUL SURVIVOR","Young Jeezy","2005","526","0Ss50OU9tCozI7JIywkv14","280013","63","0.671","0.499","-7.766","0.0854","84.045"
"PIMPIN' ALL OVER THE WORLD","Ludacris","2005","942","6VixoRqnikN4QqegoKUSbH","329626","53","0.69","0.877","-4.074","0.779","92.165"
"KARMA","Alicia Keys","2005","421","588RGyR1f4Plc8nm7SrdCa","256000","53","0.727","0.736","-6.203","0.687","85.1"
"SPEED OF SOUND","Coldplay","2005","314","7clUVcSOtkNWa58Gw5RfD4","287906","68","0.523","0.898","-6.765","0.355","123.085"
"I DON'T WANT TO BE","Gavin DeGraw","2005","302","4bgCdwNpbU3sCJ3mupBW8S","244333","71","0.545","0.582","-7.377","0.536","147.082"
"MOCKINGBIRD","Eminem","2005","904","561jH07mF1jHuk7KlaeF0s","250760","70","0.592","0.678","-4.411","0.208","83.976"
"SHE WILL BE LOVED","Maroon 5","2005","333","4llK75pXNWZz6KAho2Gp16","259453","83","0.641","0.667","-5.505","0.51","102.002"
"WAIT","Ying Yang Twins","2005","500","5Y78yINSOCW6xbOfGWNBg4","179160","61","0.933","0.513","-13.203","0.595","102.017"
"INCOMPLETE","Backstreet Boys","2005","202","0CnD7Hiw6pae6rLsZw5q5W","239586","64","0.437","0.589","-4.834","0.165","133.631"
"CATER 2 U","Destiny's Child","2005","469","6uYAPqxP69zfpCbsTHXgiz","245400","63","0.605","0.584","-7.043","0.464","125.802"
"1 THING","Amerie","2005","535","6ZyNjT2hYvfV5PuW84dp1E","238746","59","0.636","0.946","-4.683","0.891","125.085"
"BEST OF YOU","Foo Fighters","2005","327","5FZxsHWIvUsmSK1IAvm2pp","255626","74","0.366","0.94","-5.119","0.369","130.198"
"IT'S LIKE THAT","Mariah Carey","2005","329","0sNY3XS9Tz1P957KZrQ6GZ","203360","57","0.8","0.633","-4.875","0.836","95.953"
"INSIDE YOUR HEAVEN","Carrie Underwood","2005","273","25ry9EyyRsp1dDctlAclin","243266","46","0.38","0.596","-3.469","0.16","134.443"
"BECAUSE OF YOU","Kelly Clarkson","2005","322","3f3omU8n47Mqyab5nCaGyT","219493","74","0.583","0.584","-5.362","0.136","140.039"
"YOUR BODY","Pretty Ricky","2005","718","5y4TDQdYzlT4eoQIPOgNDz","240040","60","0.838","0.594","-5.695","0.507","90.038"
"BEAUTIFUL SOUL","Jesse McCartney","2005","376","1HwpWwa6bnqqRhK8agG4RS","214226","71","0.66","0.666","-4.342","0.933","89.975"
"COOL","Gwen Stefani","2005","199","1oPHQirLVcgj85NWdiyuJD","189280","58","0.707","0.726","-3.515","0.809","112.026"
"GET BACK","Ludacris","2005","831","3njpLvANriMsdv3dgADEad","270746","54","0.582","0.651","-4.971","0.191","171.463"
"OUTTA CONTROL","50 Cent","2005","705","7BKi4ZcyMBXeAvJ1OPxhdV","247973","48","0.77","0.587","-5.99","0.574","92.009"
"THESE WORDS","Natasha Bedingfield","2005","392","6QLU1GKy2Zh2mOh2uoJ0TV","216360","66","0.734","0.635","-7.03","0.931","96.99"
"DON'T LIE","Black Eyed Peas","2005","595","600qBKuhdgLqxZb1BqIE0T","219000","48","0.658","0.792","-5.172","0.573","89.861"
"GET RIGHT","Jennifer Lopez","2005","436","0rLzyBecRbTpnBWvMtPVFR","225533","56","0.741","0.759","-5.096","0.362","97.084"
"AS GOOD AS I ONCE WAS","Toby Keith","2005","356","7G6l2FtQyRhQgYgut2I6i8","227840","65","0.679","0.842","-4.364","0.72","119.013"
"LOSE MY BREATH","Destiny's Child","2005","514","4dvQg9sD8k9y4qiEURuj8v","242013","61","0.814","0.899","-5.958","0.545","119.011"
"ORDINARY PEOPLE","John Legend","2005","353","2ZA4uMlSZjaoWGFqP1tsLI","281466","66","0.469","0.132","-14.001","0.36","67.011"
"WE BE BURNIN'","Sean Paul","2005","417","4kOTDj4SiZPkW1p96WMDNv","213066","56","0.95","0.803","-4.195","0.86","117"
"O","Omarion","2005","602","3gOBLrOvDovzHL4xBDQw0B","280706","48","0.742","0.515","-6.265","0.587","120.086"
"WONDERFUL","Ja Rule","2005","612","1bl99Q4umnPomYGv3dQP67","270506","62","0.658","0.781","-5.009","0.769","92.519"
"I'M SPRUNG","T-Pain","2005","377","0F7rEdewJ6cSLylOZZpDu7","230713","68","0.722","0.329","-11.617","0.166","99.991"
"U ALREADY KNOW","112","2005","425","0ahRDzkKq0KEi7FRoHb0qk","198880","50","0.677","0.525","-9.404","0.924","87.042"
"MISSISSIPPI GIRL","Faith Hill","2005","279","79YeQbd1p7MsuT7wHQLRYY","232706","49","0.499","0.765","-4.148","0.665","83.916"
"NUMBER ONE SPOT","Ludacris","2005","632","5SV9SnHkuHMh446QsgQtry","274466","45","0.478","0.951","-4.159","0.534","146.096"
"YEAH","Usher","2004","627","5rb9QrpfcKFHM1EUbSIurX","250373","80","0.894","0.791","-4.699","0.583","105.018"
"BURN","Usher","2004","599","7z3N2W7Xz1t2G2sAO8wFVH","231933","66","0.796","0.477","-7.161","0.685","119.928"
"IF I AIN'T GOT YOU","Alicia Keys","2004","260","3XVBdLihbNbxUwZosxcGuJ","228706","80","0.609","0.445","-9.129","0.166","118.393"
"THIS LOVE","Maroon 5","2004","300","6ECp64rv50XVz93WvxXMGF","206200","78","0.714","0.859","-4.634","0.755","95.034"
"THE WAY YOU MOVE","OutKast","2004","551","5z7mYFfhw6N6f23VwrokJD","234000","67","0.871","0.597","-4.932","0.635","125.999"
"THE REASON","Hoobastank","2004","230","1lHtE5JDCas1EwXhQIMOIj","232800","78","0.447","0.668","-4.683","0.0695","82.904"
"I DON'T WANNA KNOW","Mario Winans","2004","326","2yr2HnFYl7XvqJk4fXoQBt","257333","69","0.833","0.515","-5","0.4","97.035"
"HEY YA","OutKast","2004","542","2PpruBYCo4H7WOBJ7Q2EwM","235213","78","0.728","0.974","-2.261","0.965","79.526"
"LEAN BACK","Terror Squad","2004","635","2Ozc0me9PV5vlt8cokwdvI","247426","66","0.698","0.922","-3.359","0.691","126.594"
"CONFESSIONS PART II","Usher","2004","609","7wBThXx7BGZHJJ3aN3OPvv","211200","68","0.845","0.467","-7.674","0.702","138.007"
"HERE WITHOUT YOU","3 Doors Down","2004","264","3NLrRZoMF0Lx6zTlYqeIo4","238560","75","0.536","0.55","-6.733","0.234","144.018"
"SOMEDAY","Nickelback","2004","331","4PkJ7c9y1CwpuVOiJODnCZ","207466","66","0.455","0.858","-5.659","0.597","163.118"
"NAUGHTY GIRL","Beyonce","2004","310","0YGQ3hZcRLC5YX7o0hdmHg","208573","61","0.588","0.461","-8.686","0.659","200.053"
"MY IMMORTAL","Evanescence","2004","247","4UzVcXufOhGUwF56HT7b8M","262533","74","0.186","0.29","-9.008","0.0776","68.992"
"SUNSHINE","Lil' Flip","2004","499","4s0o8TJHfX9LLHa0umnOzT","225173","62","0.814","0.387","-9.867","0.792","93.961"
"MOVE YA BODY","Nina Sky","2004","445","2ndnVdR8si7CW9T8vJRHyW","232000","66","0.876","0.71","-6.446","0.828","121.072"
"DIP IT LOW","Christina Milian","2004","665","4L55p6txv9vuCWhpNnY6eY","201000","52","0.791","0.725","-4.244","0.554","84.57"
